Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTemp.txt : len : 1000 loops : 1000
WRITE	FSYNC	READ
3353	2099155	3331	
5239	1822430	5854	
1429	1932891	1886	
1420	605138	3765	
1788	1981314	1871	
1889	585630	1519	
2455	650889	1247	
1165	630853	4309	
2428	1922636	2268	
1911	629699	1665	
1217	658856	1831	
1921	604973	4074	
1735	1956026	1958	
1848	606124	1382	
1231	598083	1680	
2340	599301	3835	
1692	1739915	2315	
2049	634479	1386	
1245	677279	1482	
1290	613050	3274	
1758	1843986	2257	
2043	581167	1459	
1276	594986	1421	
1245	572269	3392	
1662	2011460	1951	
1978	685291	1707	
1655	711624	1683	
1254	674970	3887	
1703	1977291	2016	
1670	721997	1475	
1264	663869	1455	
1191	654129	3965	
1698	1926330	1927	
1519	637151	1575	
1261	574917	1492	
1190	593921	3798	
1642	1805900	2070	
1408	581150	1749	
1272	581399	1529	
1257	591057	3681	
1651	1978417	1902	
1363	582642	1563	
1246	647554	1439	
1186	552558	3864	
1686	1936145	2274	
1881	616900	1609	
1300	628386	1518	
1326	656500	3657	
1729	1995634	2098	
1827	567038	1559	
2323	556698	1593	
1248	641770	1448	
2295	1928192	6451	
1429	1735652	2162	
1457	708078	4006	
1749	1866280	2436	
1632	587401	1582	
1253	517504	1380	
1201	578947	3504	
1688	1818143	2136	
1866	589271	1463	
1257	605376	1882	
2570	561485	1509	
1230	591541	3648	
1631	1713444	1799	
1414	570652	1487	
1204	524582	1186	
1268	600384	3606	
3236	1651652	1858	
1393	615742	1638	
1711	553432	1806	
1320	586975	1445	
1251	531211	3744	
3836	1736958	2100	
1471	542049	1681	
1323	543835	1873	
1831	647153	1727	
1280	594577	3924	
1712	1844618	2001	
2149	537774	1532	
1281	570663	1723	
1250	612424	3603	
1687	1746123	1808	
1472	626760	2025	
2305	605988	2063	
1408	663008	3903	
1737	1853285	2315	
1904	565745	1599	
1281	519577	1322	
1242	578320	1274	
1275	587946	3774	
1704	2000359	2348	
1938	635554	1493	
1311	606736	1397	
1279	637445	3521	
1671	1967300	1929	
1931	636628	1614	
1357	592843	1259	
1214	641565	3965	
1707	2057912	2361	
1722	570418	1431	
1275	560414	1363	
1254	590090	3133	
2800	1975888	1897	
1857	610652	1445	
1265	601108	1378	
1252	575242	3079	
1654	2040212	2016	
2714	613185	1659	
2382	561640	1502	
1280	550019	3749	
1935	1960228	1980	
1391	623839	2088	
1456	649379	1678	
1321	640200	4004	
1848	1883767	2114	
1365	548773	1394	
1277	624560	1907	
1307	565530	3431	
1608	1900250	1991	
2090	647398	1764	
1344	697841	1789	
1656	567343	3227	
2445	1938863	2304	
1769	653658	1592	
2084	616396	1841	
1785	629327	4946	
3364	1987933	2051	
1752	637877	1713	
1420	639149	1860	
1277	628118	4153	
1685	2176374	2536	
3065	679363	2667	
3413	598652	1886	
1340	668347	3401	
1769	1985200	2106	
1459	591662	1803	
1351	626715	1888	
1342	704013	4540	
1733	1912375	1785	
1508	691525	1808	
1406	633660	1819	
1349	603895	3704	
1751	1920799	2408	
2821	637998	1977	
1415	579874	1501	
1354	763440	3835	
1735	1882309	2152	
