Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
27223	14884	9834	1729	4821	26622	
16907	10260	8382	1450	2700	23115	
16172	9871	7222	1376	2891	25726	
15575	9763	7113	1409	2987	22394	
15518	9853	7700	1426	2739	23197	
23840	15700	10532	1894	3826	36874	
26409	17127	12540	2328	3213	27292	
17868	10822	8231	1446	2974	23982	
16264	9741	12183	1513	3275	28801	
17230	10731	7653	1500	3148	23822	
15828	10242	7514	1456	2724	22560	
15089	10004	6818	1378	2565	22857	
15785	10097	6840	1398	2504	22500	
15789	10312	13730	1429	2402	22034	
14658	9247	6303	1348	2708	22391	
15095	9674	6518	1355	2900	26676	
17249	10589	7620	1456	2739	23702	
15851	10084	7711	1436	2597	23204	
15182	10001	7097	1348	2768	23692	
15981	10082	7575	1365	3248	26585	
17054	10773	7767	1520	2944	22669	
15496	9892	7230	1413	2744	23471	
15372	9979	7068	1396	2745	23468	
16930	15381	10754	1944	2793	27273	
17242	10892	8233	1454	2720	23138	
16843	10735	7724	1422	3060	26357	
17368	10671	8714	1474	3243	31909	
18122	16996	8672	1535	2861	23469	
16033	10255	7663	1466	2482	22635	
16332	10260	7474	1466	2673	23156	
15343	9842	6862	1360	3291	26506	
18020	10992	8604	1559	2796	22964	
16767	10061	7701	1502	2766	23554	
15504	9717	6938	1356	2809	23022	
15869	10051	7037	1418	2466	22144	
14938	9434	7088	1321	2780	23660	
15077	9879	6751	1400	2816	25140	
16127	10369	7276	1459	2942	24182	
15930	10500	7301	1453	2774	22870	
15306	9865	6754	1442	3429	26657	
17556	10948	7661	1487	3108	26380	
16477	10695	7466	1467	3119	23329	
15492	10137	7317	1416	3293	25865	
17176	10648	7350	1506	2785	23371	
15562	9800	7752	1420	3334	27746	
17168	10831	7745	1483	2780	22340	
15242	9773	6943	1420	2630	23177	
15824	9755	11674	1411	2946	26308	
17107	10439	7920	1484	3282	26692	
17533	10635	8372	1542	2820	23412	
15725	9941	7523	1417	2626	23304	
15559	9601	7023	1416	3611	31679	
17198	10737	7680	1488	2717	23450	
15821	10375	7846	1489	3164	31100	
17642	10602	7571	6364	2955	25616	
18026	10628	8159	1486	2727	24190	
16116	10212	15822	1427	3615	27354	
17383	10800	8572	1549	2922	24078	
15951	9995	7550	1458	3191	28229	
18873	29314	9451	1989	3406	31862	
19318	12131	10076	1500	2771	27388	
16531	10809	7570	1832	2117	21822	
15669	10006	7335	1388	2569	28921	
20262	15546	10595	1880	3263	30168	
21037	11029	7308	1382	3000	27667	
30437	13397	8091	1498	2888	24512	
16684	10466	7476	1452	2737	22953	
15890	10338	7608	1495	2853	26820	
16953	10448	7973	1466	3040	25642	
17228	10680	8386	1462	2981	26046	
16720	10865	8429	1520	2600	22578	
15447	10119	6837	1394	3273	25804	
17044	10677	7779	1502	2526	21444	
15346	9903	7873	1466	2381	22338	
16269	10346	7916	1495	3028	25171	
23052	20561	11579	2014	2516	22450	
15205	10060	7015	1392	2472	22030	
15172	9967	6761	1377	2309	21618	
14356	9820	13652	2008	2310	21857	
41697	12021	7693	1396	2516	21828	
14680	9828	6595	1333	2480	25360	
30103	12646	7141	1444	2464	22809	
15056	10030	7360	1435	2973	26194	
17782	11432	7601	1571	3185	28183	
17766	10706	7869	1482	2540	21411	
15741	9945	7247	1418	3220	25741	
18241	15914	11335	2102	2751	22076	
15174	9817	7578	1353	3120	34378	
21213	11579	8031	1524	2937	22597	
15003	10077	7466	1400	2787	23388	
15384	10285	13899	1611	3094	25922	
16642	10850	7637	4651	2867	22232	
15228	9960	6970	1433	2756	22808	
15834	9861	7501	1406	2726	22689	
14975	9727	6894	1421	2832	22000	
15351	9642	7246	1399	2591	22645	
14972	9689	6710	1403	2612	24277	
15920	10310	7771	1425	3381	26404	
17171	10700	7803	1497	2821	25026	
16374	10735	32518	1730	3140	25560	
17236	11032	7448	1532	3188	24632	
16535	10668	7588	1553	2411	21930	
15496	10372	7462	1363	3183	25581	
18271	11340	7697	1532	2914	23748	
16408	10619	7243	1511	3472	30374	
18596	11181	8460	1473	2874	27026	
16711	10525	7446	1433	2569	22740	
16231	10620	7676	1418	3411	25848	
19424	11486	8040	1548	2967	22837	
16774	10095	7494	1471	2791	22289	
15180	10027	7297	1426	2774	22867	
15746	9872	7132	1450	3361	24502	
16511	10789	7724	1484	3036	23176	
15575	10360	7864	1503	2896	22368	
19901	10521	7034	1446	6569	49908	
26365	11835	10489	2293	3191	25210	
23555	13271	9570	1762	2892	25262	
17338	10065	8040	1402	2823	24100	
16073	9647	15338	1549	3157	24458	
15423	9780	7211	1364	2890	25294	
16923	10140	8235	1445	2960	24525	
24465	14895	8895	1436	3191	24429	
16603	10140	8015	1370	3462	29500	
23694	11533	8991	1495	3335	30771	
19927	14123	13071	2317	3125	25328	
18375	10578	7389	1437	2885	24414	
16297	9722	8030	1367	5382	44364	
23049	11446	10029	2234	3500	27437	
17747	11061	8408	1583	3112	25558	
17394	10866	8045	1475	3089	30346	
22917	16114	10985	2068	3534	26657	
17496	10922	8325	1508	3124	26829	
17581	11031	8809	1483	2877	25111	
17319	11217	7752	1439	2467	22640	
15887	9776	7590	1410	2726	23409	
15920	10401	7284	1873	3237	31349	
18548	11303	7855	1453	3057	26386	
17403	10904	7838	1431	2679	32433	
16715	10434	7722	1410	2988	26923	
23543	16064	11520	2062	2798	23890	
17049	10411	7840	1429	3353	27069	
19178	11729	8022	1472	2828	24053	
