Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
1768539	265701	616488	3375	26567	391367	
1160462	286129	793058	5636	21934	415129	
1051206	303019	673638	5656	6580	376183	
1136143	250973	623197	4385	19046	549822	
978001	239822	566159	4241	8102	418311	
1163486	977079	965921	4151	9433	457923	
1233395	356139	857491	4338	6891	487573	
1214914	291983	798475	4297	7726	441989	
1228454	266438	876485	4373	11284	471158	
1250933	371193	769221	5189	11866	396437	
1256529	1085647	708758	4847	10207	423395	
996963	260595	635354	5674	7695	553800	
1014963	263339	595796	4476	6235	377524	
1008592	292860	776249	5817	10760	393120	
1039137	330984	498994	3574	9850	484971	
937654	1270122	725397	4726	8754	562674	
1194906	293714	732423	3167	5838	469612	
1174298	282035	888608	3725	6787	680107	
1017551	413670	756059	5454	7177	602914	
1144390	258185	713844	3820	8893	441524	
1197079	1108339	960320	4283	7092	504153	
1164610	361323	731436	5251	10369	496478	
1166441	347120	768948	4133	19095	542541	
1069581	273886	680543	4340	7973	474836	
1118374	292341	800143	4114	6558	485641	
1094591	1228916	680549	3751	6735	431683	
968027	267403	555562	3446	20664	550293	
869942	306581	570272	5179	6803	294496	
1171160	303570	681442	3700	7862	457222	
991102	308910	691728	4149	6937	377653	
1198193	1443046	720328	4051	6463	340892	
1055718	243848	716819	4688	11780	483328	
961156	362477	853660	4873	8887	405857	
1022125	304864	720045	5618	7571	597857	
1125650	259829	584085	4020	5858	371795	
1064605	1269069	768061	4772	10094	380597	
1282348	478353	855341	3801	7228	442369	
1150066	293448	741391	4337	28697	456771	
1198619	288823	733024	4537	6615	492057	
1209297	324346	666010	4740	6960	373663	
1216514	1195117	739748	4554	7374	383336	
1083492	328725	966545	4086	17640	637817	
1191096	296332	647714	3722	5834	474990	
1331177	325268	859887	4326	10058	514309	
1160557	324606	687002	4216	12133	392458	
1183549	1129111	832845	5073	7692	400675	
1053543	287071	751854	4245	7608	422721	
1022219	259923	553788	3992	8110	383402	
1190439	331755	941427	4388	6651	374713	
1067326	239786	567432	4241	9100	488252	
1175463	1402796	802313	4349	7240	398287	
1126577	249023	681040	4640	7260	390902	
1024263	270486	600818	5825	6327	554799	
1256176	257631	698224	4432	7004	510503	
962595	251029	612000	3646	7482	391227	
973178	1204721	835383	4027	6925	413388	
1204539	258129	751097	5281	7690	557979	
1013339	317349	654506	4463	10243	428293	
1084216	302873	645812	3537	6703	432575	
1030674	266611	730970	4480	12315	535883	
1028871	967061	664255	33812	7468	503082	
1095628	316065	608687	4780	6783	346009	
1027721	253073	620057	5439	7580	424425	
987327	260139	564724	4221	13671	379919	
972094	220640	587276	4189	6706	387190	
1068023	1371286	703476	4340	7416	529045	
1197205	327535	754557	3777	10411	499173	
1079416	239185	614009	4500	6373	595059	
1214900	279209	789349	4469	6761	431779	
1137925	294814	808000	4968	10694	572388	
1220037	1167028	661801	3854	8613	561256	
1104085	281327	775508	4330	7148	462236	
1215559	346292	707678	4923	12136	563934	
1159313	378402	788569	3582	17698	482388	
1083418	244981	751028	4565	6934	450468	
1178930	1139162	671656	4762	22989	464108	
1028150	227486	698924	4943	8854	472665	
1110207	301069	767822	4306	7009	481513	
919369	205417	598555	4429	6385	387717	
975845	251948	659812	4746	8237	423672	
951594	1212208	622723	4363	36314	448240	
1036885	273214	710953	4393	64836	425093	
970408	315533	629579	4799	8171	506052	
934587	228132	745265	4243	6530	500105	
1166126	312191	748102	4074	7986	457648	
1173245	1147806	843766	4411	8140	459028	
1029908	267403	648677	3883	6476	489832	
1077054	427229	764542	4373	7846	402426	
1197063	375189	633304	4402	7426	400774	
1039771	287836	743155	4796	6565	352159	
1205438	1248790	760446	3901	6200	444374	
1135080	269896	675603	4414	6860	391514	
1249709	331872	754193	4263	7022	558641	
1094804	287122	755257	4957	6678	481480	
1236414	287534	797190	3760	6838	524969	
1302708	1014094	724997	4044	5694	634238	
1207215	250053	676982	4073	8867	458990	
1119839	291920	674071	4688	7522	452205	
1219524	319541	684711	4333	10487	444860	
1322054	403917	654975	4160	7130	423230	
1059361	1094759	821134	4149	8103	398611	
1303458	268424	798538	4170	10475	476643	
1038202	274127	656271	5475	8175	384777	
1064286	330503	708112	4845	9270	394800	
1107533	297573	715591	4337	7585	540907	
1696565	645045	824968	4631	8781	450922	
1160023	265858	637495	5660	9634	466746	
1200450	301449	735723	4313	9268	527957	
