Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTemp.txt : len : 1000 loops : 1000
WRITE	FSYNC	READ
221226	194335	199880	
166180	194848	1476	
173918	177408	1296	
181386	156043	1716	
283988	174006	1356	
171469	206773	1326	
180187	160680	1314	
285491	176312	1770	
238766	192386	1412	
189152	162879	1363	
189774	198397	1367	
207729	184060	1281	
208796	165065	1294	
211148	157604	1175	
179152	137724	1208	
190236	163861	1205	
261352	175173	1357	
170772	189589	1608	
260407	166202	1308	
198033	186351	1760	
189522	209179	1374	
222888	175184	1640	
247725	332474	1285	
238081	235091	1488	
249042	186034	1783	
192105	213073	1466	
204152	200767	1329	
213022	179535	1411	
219727	166696	1241	
243728	203156	1688	
201042	174010	1362	
175719	182310	1355	
211058	164336	1360	
207096	163460	1267	
160402	149762	1246	
187806	162938	1260	
176937	140009	1270	
204666	160773	1238	
188897	170107	1251	
197400	236334	1395	
224454	168182	1324	
202706	314558	1632	
203552	172000	1396	
178288	161454	1386	
172495	160335	1349	
164612	167113	1319	
227262	160414	1382	
219516	259244	1427	
197206	193670	1448	
203849	169697	1426	
190386	159177	1337	
194134	163342	1329	
175338	162123	1316	
145577	206310	1303	
206606	193298	1317	
171455	154189	1297	
164217	188362	1269	
249325	180450	1334	
210378	159558	1382	
197302	171870	1377	
219624	162222	1353	
343844	220887	1443	
229871	224498	2385	
208837	195638	1428	
226662	180564	1770	
197308	203762	1373	
214305	207240	1444	
193998	164497	1347	
162016	157051	1292	
181424	163990	1292	
188550	163240	1320	
165562	155472	1331	
162354	191194	1292	
178555	138237	1263	
194520	153571	1319	
181337	152600	1210	
159852	141441	1283	
142673	166631	1722	
183530	165030	1302	
178847	173535	1429	
198602	153115	1432	
218217	250184	1450	
180702	205618	1420	
162499	162514	1360	
172757	268894	1368	
239343	183124	1426	
196477	195402	1824	
238121	163646	1427	
193515	189308	1396	
174823	169201	1409	
167188	156126	1278	
173572	154203	1256	
209031	169720	1376	
260915	200897	1432	
276134	202104	1422	
242755	175171	1380	
223551	165734	1322	
231140	214435	1371	
240200	199139	1344	
248274	196188	1401	
353805	281129	1523	
201553	171448	1416	
206862	155490	1368	
189448	168068	1251	
156542	150818	1240	
205296	177616	1292	
201008	164451	1248	
152739	174246	1178	
191629	166332	1374	
194654	168588	1326	
166061	155113	1250	
173078	248229	1433	
222387	198648	1462	
207936	185200	1381	
191953	172925	1372	
171456	151798	1272	
162928	204340	1375	
188767	210384	1725	
180917	180490	1278	
214342	188455	1737	
188318	165393	1302	
155315	183449	1322	
184011	214255	1259	
180896	152969	1258	
155162	159957	1251	
180247	173136	1237	
148240	210062	1235	
183738	172991	1318	
207749	184223	1223	
260448	199946	1683	
238749	196875	1394	
188226	165088	1322	
218320	200545	1400	
184250	175771	1317	
250588	191964	1365	
205409	247257	1333	
195765	169855	1495	
178092	187729	1338	
198541	174156	1368	
211790	175229	1308	
201605	194662	1291	
199664	155200	1291	
173466	143694	1249	
417005	196114	1436	
266850	381633	1549	
244086	209411	1432	
301242	262460	1778	
186705	172702	1309	
197251	177976	1344	
223596	184102	1397	
194634	201100	1382	
194302	174654	1354	
165242	158958	1224	
231100	185812	1405	
183965	170570	1427	
216148	168012	1345	
207656	185649	1316	
190311	219400	1391	
199258	167290	1373	
191688	164660	1319	
220240	189280	1366	
238958	202977	1426	
196113	207766	1321	
200742	199455	1443	
222577	183269	1362	
301856	213184	1400	
213607	188431	1300	
229930	221974	1478	
208396	185192	1790	
189168	236826	1445	
222596	206036	1385	
238686	194553	1376	
208120	172094	1405	
214268	166832	1349	
204558	180246	1300	
207190	157883	1297	
149893	197675	1282	
247455	199301	1345	
165240	187005	1329	
190636	162978	1414	
161574	169939	1254	
189817	194677	1265	
201338	198280	1326	
151356	178066	1400	
156160	174442	1274	
151876	152560	1295	
169914	266971	1331	
202908	197266	1641	
243244	202368	1429	
221852	185446	1462	
195651	208163	1344	
202065	242733	1346	
221742	235223	1384	
246339	193279	1340	
200533	185448	1360	
239351	203902	1420	
195251	208724	1472	
238877	182052	1386	
201117	230003	1425	
221162	180600	1337	
190188	169614	1323	
174701	168662	1284	
226058	176385	1335	
301463	174590	1336	
216552	167484	1304	
307794	195505	1325	
194735	299537	1177	
229518	229814	1406	
341542	192747	1351	
176926	214574	1315	
191948	261794	1365	
225556	199560	1343	
199578	171838	1318	
209037	206580	1298	
319043	182860	1373	
211541	259669	1311	
186615	176720	1380	
197080	198631	1498	
198246	220134	2374	
186128	173329	1236	
343437	204743	1436	
231132	179734	1423	
234128	176856	1362	
229587	193022	1344	
192834	209045	1286	
181112	200877	1761	
204689	191769	1316	
195091	181178	1276	
190898	204087	1257	
204784	162089	1311	
187237	173969	1286	
175218	192674	1276	
246785	179971	1380	
232977	219326	1372	
189985	212872	1388	
220722	176578	1697	
194749	214493	1422	
228799	194241	1349	
210161	189157	1407	
191955	200424	1381	
215822	177154	1353	
253277	220105	1380	
229685	177542	1374	
231752	185485	1336	
202427	175748	1328	
217506	190024	1400	
176149	208872	1371	
261853	182898	1362	
228288	216771	1366	
176518	218135	1488	
197628	202182	1351	
227667	200660	1382	
202822	179568	1417	
224329	209183	1480	
199517	184889	1286	
206229	179004	1374	
229983	223693	1284	
207112	174087	1314	
172736	171548	1364	
248349	204960	1336	
205243	224688	1340	
252208	323896	1783	
306789	259266	1449	
245160	177469	1340	
224748	210894	1350	
208833	170585	1346	
265288	185889	1357	
216928	177368	1344	
267438	209905	1341	
194308	185432	1304	
246000	211620	1333	
192180	178049	1365	
193178	188014	1346	
201856	301294	1174	
219236	230229	1402	
197072	187383	1380	
182949	200492	1451	
194938	204979	1339	
198348	156958	1271	
160109	165241	1312	
167416	160969	1243	
232743	166880	1393	
248606	194991	1358	
198206	220658	1448	
186434	186940	1317	
198315	165111	1320	
198401	159496	1176	
220067	173198	1331	
212972	169971	1311	
171511	178506	1340	
199307	154762	1386	
199113	168620	1324	
154770	182212	1234	
194288	168303	1204	
217113	162200	1279	
196995	326088	1194	
207182	220593	1448	
269572	172126	1883	
188436	224148	1342	
200560	194939	1360	
352028	248106	1434	
224128	181785	1400	
208025	189749	1338	
229691	189453	1465	
206737	197334	1360	
206459	193954	1678	
182815	188091	1255	
233622	235736	1823	
219632	205852	1393	
172670	187770	1354	
246005	208514	1414	
194991	185258	1452	
236602	171503	1357	
173589	168312	1329	
191400	173431	1314	
176809	204425	1351	
165798	173714	1314	
196552	175977	1292	
173594	189786	1313	
240832	163269	1394	
211313	182354	1371	
239418	224877	1412	
256400	190265	1428	
213201	181713	1356	
249971	175559	1282	
218700	190074	1384	
178310	228448	1355	
225792	182441	1397	
236798	191414	2220	
211000	210898	1372	
278000	179052	1345	
195452	169040	1726	
238603	188741	1402	
193098	187469	1801	
222736	190448	1375	
177059	177162	1292	
206063	159837	1304	
163329	166729	1254	
174960	148845	1266	
176844	182131	1202	
180882	176780	1192	
154565	169140	1244	
177051	150551	1242	
169026	206792	1315	
247602	207326	1443	
387193	247160	1848	
191469	203859	1368	
257258	191500	1339	
