Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTemp.txt : len : 10000 loops : 1000
WRITE	FSYNC	READ
325441	84618	89863	
338911	81275	2908	
301761	103091	2760	
326511	96104	2876	
290333	73983	2806	
237514	71989	2567	
229833	73820	2642	
298791	96075	3043	
288265	104378	3871	
248893	93678	3872	
233785	75481	4116	
346478	105021	2789	
324784	103476	3540	
279436	73839	2743	
260964	95150	3578	
331012	101321	2609	
258283	74629	2729	
235260	71072	2543	
234525	70134	2640	
265711	73114	2743	
279389	65480	2711	
225075	68523	2671	
199984	72203	2543	
256485	71132	2706	
291008	135789	2605	
282250	133754	2672	
302455	101662	3332	
332343	110281	2602	
292888	76031	2711	
280854	76611	2737	
291031	101740	2776	
291380	114115	3063	
482043	72752	2745	
282176	77084	2753	
224601	59058	2548	
219891	72575	2622	
252756	79662	2534	
239733	70906	2610	
310528	79576	3583	
275207	74837	2753	
316598	73531	2713	
240797	124794	2747	
293774	65627	3116	
405657	75094	3127	
249819	83568	2681	
293495	74467	2477	
346100	77638	3120	
251290	73360	2697	
242189	72360	5569	
342231	103090	3177	
285331	75806	2951	
335794	70349	3230	
259600	70143	2632	
228623	68522	2600	
244917	98178	2789	
302624	73343	2632	
260088	72178	2453	
221877	91725	2627	
248149	103691	3103	
239227	117340	6450	
389306	163843	3605	
333232	132118	2896	
321873	194006	4294	
281480	94491	2931	
269093	74663	2746	
367214	71560	2848	
422920	112672	3289	
312686	73017	3123	
363785	82515	3144	
377317	111257	2592	
316763	81937	2556	
260902	78947	2337	
231467	79020	2650	
268961	143158	3321	
316932	100050	3731	
297641	63888	2602	
227070	90601	3629	
366766	86998	2717	
348837	84180	2685	
398517	129211	3202	
277623	138124	2823	
273506	86300	2511	
263658	78277	2647	
278688	178610	2791	
261938	85830	2543	
261826	65479	2608	
247457	89606	2538	
277722	78238	2685	
299807	111482	3381	
376821	87120	3206	
355393	89706	9165	
252746	87932	2500	
250848	69080	2489	
245963	81335	2891	
300932	72500	2732	
237214	72110	2658	
252988	66600	2712	
275706	67438	2691	
344932	103404	2536	
358673	76645	3309	
251606	77862	2642	
291509	89383	2853	
364715	74307	2600	
309791	131042	2569	
254807	136123	2994	
295566	100741	2551	
324921	76202	2633	
291835	140331	3946	
344074	98347	2934	
225146	64434	2597	
257916	69747	2737	
235428	73000	2515	
233423	73783	2493	
227663	89874	2629	
248226	71948	8129	
238506	73983	2553	
212244	62727	2568	
223407	69302	2440	
246391	69495	2806	
376925	106293	2827	
297718	121344	3758	
292720	81331	3169	
254177	81684	2738	
289520	125274	2752	
358766	118814	3434	
357200	85092	3269	
254335	73900	2814	
385233	130198	2727	
367197	92173	2813	
293500	119574	3969	
333280	90877	2659	
257955	72406	2717	
271473	77509	2642	
263619	75073	2646	
271592	81222	2650	
246395	80360	2757	
283480	79460	2762	
238965	101670	2664	
254636	75985	2547	
230066	72340	2440	
348048	118109	3500	
260083	75218	3850	
305260	73597	2846	
278035	104037	2715	
328475	110709	2594	
389989	117977	3289	
337911	73306	2837	
226064	63620	2678	
239163	83323	2591	
226739	70307	2576	
371648	124323	3308	
250977	72856	2571	
445565	70710	3247	
381351	129446	2659	
297790	92860	2620	
240087	74784	2523	
341961	81544	2913	
243409	87109	2706	
276698	90646	2630	
417553	85877	3411	
239548	70006	3148	
280043	70772	2815	
262742	70707	2554	
267151	74511	2764	
297396	76160	3324	
314029	205077	3385	
457409	111750	3377	
301823	92115	2663	
296150	82527	2958	
259197	80911	2823	
281668	83224	2689	
337128	88758	3406	
316135	77029	3203	
388698	77552	3305	
285245	80120	2870	
247842	79833	2603	
295309	80738	2695	
349668	112673	3346	
293966	102491	2640	
309165	102986	2761	
241529	96960	2730	
277140	82451	2463	
294316	79327	2607	
246804	76228	2495	
245861	150919	8074	
267322	77498	2734	
372198	167179	3195	
308429	72299	3320	
275423	72773	2773	
246817	87302	2625	
349976	75208	3385	
320729	136617	2889	
391760	103552	2772	
306345	106503	2526	
303058	78247	2495	
283198	120469	2782	
366853	104580	2855	
286605	108917	2552	
262080	123291	2487	
304643	111777	2567	
256600	107966	3048	
248448	93018	2731	
256450	105649	2504	
249889	101277	2640	
269862	74266	2406	
224430	72642	2532	
236518	79730	2782	
243766	78901	2566	
260888	88115	2570	
247941	76574	2551	
284705	107791	2540	
324568	121131	7329	
369279	176857	3689	
347389	85908	3339	
609140	125066	3452	
321224	115891	2957	
342431	76676	3297	
267798	103300	2761	
303464	85700	2715	
240791	75521	2718	
317249	114271	2843	
312109	103252	2609	
306909	107140	2553	
371973	118947	2560	
275742	70743	2626	
241211	72097	2660	
267433	64566	2722	
245940	81404	2800	
229134	124406	2566	
269903	77972	2693	
284140	75326	3311	
294916	106603	3437	
464298	101757	3758	
276720	74357	2760	
241578	72928	2640	
306222	115832	2807	
354602	69470	3291	
336994	96836	3320	
356960	72067	2688	
240016	84947	2566	
229103	73689	2763	
230063	75029	2588	
347098	79067	2551	
324671	79129	2714	
238874	88143	2693	
234501	71161	2634	
217700	77375	2560	
321437	79380	3351	
233509	71784	2708	
247095	73850	2611	
245828	70951	2649	
229725	81829	2766	
246981	74811	2838	
361644	115540	2566	
309162	72045	2535	
235314	72060	2519	
238631	79056	2529	
335044	92471	3063	
215076	106958	2626	
262308	72674	2652	
240835	69951	2458	
237931	72365	2765	
319080	71811	2575	
360149	80700	2848	
281106	80797	2686	
301791	87308	2707	
304614	112886	2718	
356441	117363	2602	
298736	102766	2861	
369057	85386	2650	
317512	79391	2608	
291881	84114	2511	
327431	158759	3191	
332911	104017	2694	
267238	95297	2689	
302783	467377	2806	
372677	78692	2709	
411111	91177	3376	
421892	114770	3655	
394326	81512	3773	
295673	99458	2897	
288947	81818	2703	
287326	86954	2629	
305856	77963	3382	
271841	109367	3697	
239287	74824	2771	
249135	76941	2668	
519553	199940	3326	
401180	105432	2569	
232538	85357	3337	
266960	117229	3191	
260638	135184	3955	
316066	129532	3255	
280703	65180	2782	
285505	98253	2823	
218426	91402	2893	
410088	78680	3093	
246918	107282	2652	
367611	75660	3235	
260970	91643	3526	
237894	76286	2691	
272863	100185	3868	
283500	74254	3045	
253830	76195	2708	
286171	144532	3433	
429173	130479	3587	
504340	100745	3288	
369404	75763	3129	
360340	89777	3161	
327631	105918	2935	
579755	117780	3455	
304421	101849	2793	
289055	81187	2655	
265817	76796	2587	
427530	74301	3302	
316460	79408	2750	
347120	116755	2698	
304948	91876	2651	
325746	88202	3257	
272277	81169	2715	
325575	78624	3149	
379803	83727	3149	
333600	122811	4975	
316086	82997	3004	
293103	116636	3320	
329822	86157	2632	
300798	156222	2570	
382535	119872	2773	
238443	111182	2738	
298969	108021	3578	
305350	78818	3270	
285759	72964	2740	
237982	78008	2709	
208819	86909	6029	
287366	81409	2646	
234985	88058	2490	
317552	182259	3912	
371984	149080	3343	
364529	136953	2786	
248234	75829	2666	
364811	71874	3154	
302155	95988	3260	
261028	80125	2600	
232204	108340	2629	
299242	125167	2762	
347234	80646	2923	
289949	223827	2929	
261953	96782	3455	
317658	118540	3200	
332836	66538	2809	
252075	101247	2787	
228911	71320	2523	
241551	72027	2521	
229111	155704	2483	
355006	129435	3225	
403720	72805	3276	
301217	80670	3316	
266355	82155	2966	
495085	74073	3322	
355382	74427	2643	
257803	107221	2722	
314559	143669	3645	
411840	80659	2839	
295387	88356	3042	
349317	106742	2923	
272463	104607	2661	
282573	103972	2880	
334374	80466	3094	
229254	74562	2689	
220542	70331	2543	
225165	63548	2489	
274509	80640	2606	
247910	72829	2700	
262106	74700	2582	
223246	72438	2473	
250358	72592	3241	
218633	69851	2657	
234480	64317	2734	
304032	73420	2532	
330426	93443	2635	
347393	99357	2803	
274286	71841	2680	
253248	71929	2689	
232680	83412	2736	
250181	73102	2533	
