Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTemp.txt : len : 40000 loops : 1000
WRITE	FSYNC	READ
22141	2821142	32371	
41669	2692012	14277	
19700	2906611	14495	
19918	2660842	14519	
17541	2715888	14998	
17671	2339186	14960	
20013	2736381	16215	
20722	2434575	13858	
16907	2685432	12916	
16906	2788852	13892	
18729	2794393	14154	
19440	2704430	12888	
18242	2870580	13560	
20016	3880216	14630	
20213	2576856	14106	
20000	2696625	13301	
21515	2350840	13045	
17788	2681737	13608	
17210	2567808	13464	
18172	3323075	16077	
20325	3024128	13494	
10979	2576966	12862	
10818	2458134	7774	
11501	2464213	12754	
11346	2505259	12212	
13252	2488824	11739	
10300	2615485	12080	
12658	2591251	10668	
10649	2568012	12282	
10693	2590670	12930	
10528	2610406	14202	
10797	2535437	13572	
10822	2572899	10629	
16626	2641965	13879	
11209	2219775	13961	
10431	2784576	11390	
18113	2641576	13422	
10867	2646360	13274	
11441	2452347	13227	
10624	2421539	13331	
10782	2577410	11254	
15017	2341329	12398	
8963	6387817	23202	
11459	2887050	13350	
11255	2545976	12411	
12116	2696766	10842	
11415	2605792	10733	
10162	2608413	11782	
12443	2772026	12180	
10738	2380348	12140	
10892	2496679	13541	
10818	2280249	12728	
11080	2446994	8405	
18994	2590244	12946	
11003	2466283	6315	
11761	2529881	12936	
11436	2435603	12196	
11837	2338877	12965	
10795	2493869	12538	
10930	2634275	13294	
12503	2494933	12194	
10511	2587838	12608	
10589	2384220	8837	
13885	2764564	13201	
21487	2549346	12345	
14680	2910739	10771	
12520	2382181	11054	
11791	2780297	12701	
11067	2603314	12132	
11320	2686830	12227	
11040	2563544	17481	
11590	2626154	13077	
11934	2713971	13750	
11610	2690287	13572	
10994	2485501	13200	
12867	2600501	12901	
11129	2624871	8354	
17451	2391459	12874	
11206	2712463	12420	
11291	2770938	12833	
10278	2246208	10172	
10952	2544532	12171	
11034	2546384	13264	
11796	2630630	10889	
18247	2860903	12524	
17961	2605133	12612	
11792	2679568	12635	
13484	2630544	13166	
10513	2785625	12801	
13298	2300065	8266	
11599	2317931	12849	
9986	2735093	12199	
11047	2239695	12660	
11502	2564111	11925	
10642	2641540	12913	
11804	2712268	10314	
10966	2766097	12275	
11702	2533450	12803	
10825	2742276	8207	
14671	2662743	12668	
14117	2726388	12130	
13410	2209050	12252	
17287	2748836	13032	
9954	2523009	15378	
15673	2637015	15452	
15580	2501442	15621	
15795	2402094	15113	
16003	2363596	15477	
15025	2249079	10900	
17405	2557769	15903	
14480	2612756	14844	
14172	2537637	15700	
14112	2536190	14749	
16020	2509019	15124	
13606	2609066	15363	
15131	2478323	14673	
14289	2909037	15360	
15308	2665663	16528	
16168	2574270	21133	
18242	2699791	12627	
16207	2565372	15834	
15694	3013156	20422	
14423	2501756	15274	
15750	2539021	15435	
15783	2909479	15231	
14975	2844473	15694	
15276	2606988	15173	
14806	2715343	12548	
10858	2584899	12618	
10780	2595234	13852	
11240	2668127	15442	
11396	2474947	11717	
10931	2507459	8808	
11880	2300790	12592	
11518	2684812	11311	
11116	2846793	10506	
12895	2193358	11412	
10889	2590379	12600	
11222	2847178	11613	
10806	2600265	12020	
10497	2285091	11278	
10623	2595143	8533	
11577	2772674	12596	
12115	2683543	11520	
11137	2586661	11306	
11543	2573888	11379	
14371	2456737	11113	
11109	2363385	11605	
10554	2665663	11180	
10675	2623889	10638	
10849	2576339	10687	
13064	2549705	10543	
10883	2638860	7968	
11618	2484771	11283	
11581	2572188	10111	
10650	2607082	12249	
11277	2475717	12064	
11580	2559770	13042	
11343	2546239	10966	
11269	2718784	13285	
21446	2774199	17765	
13325	2201551	12245	
9078	2431143	12567	
12900	2752844	33337	
10695	2810213	12924	
15974	2615480	13167	
11131	2631352	12630	
11175	2499610	12835	
17464	2546530	12975	
14080	2540480	11222	
11919	2884339	13020	
10595	2411359	6229	
13222	2682224	12531	
11027	2636464	11922	
10978	2639632	11836	
10096	2675525	11886	
10949	2627694	11914	
10734	2751100	12934	
12993	2701896	11929	
12056	2609191	12909	
10913	2542264	12326	
12375	2593033	11211	
10494	2496293	10767	
10678	2540249	7347	
12631	2597439	10513	
13282	2705201	11306	
13468	2728936	11284	
11914	2931032	14523	
20251	2832461	15356	
20408	2619892	14028	
21509	6048891	18429	
18758	2959625	15021	
18948	2334848	13390	
17029	2576232	13118	
25783	2886627	14185	
20275	2253031	13343	
18530	2509990	12571	
18405	2778309	14480	
19554	2451361	12629	
16948	2335501	13273	
17846	2595939	14018	
17328	2754316	12287	
16795	2622747	12275	
20292	2542445	13089	
19236	2492417	12035	
18389	2553221	12765	
20758	2247986	12511	
18429	2549202	17141	
17275	2595863	13935	
18701	2275961	14391	
17620	2962616	14554	
20566	2701660	14997	
18871	2608402	13822	
20080	2719731	14818	
18751	2401906	14346	
22540	2328851	23925	
18637	2764934	14792	
18713	2670278	14611	
16718	2620782	14080	
18843	2316765	14564	
16972	2421104	14109	
20811	2674710	14873	
20917	2586999	14310	
19003	2641902	14017	
17067	2310810	15585	
18878	3505649	15760	
19444	2636171	15693	
24201	2542344	16099	
49080	2989262	17947	
18272	2628532	23149	
18807	2361577	14323	
17585	2705178	14322	
19085	2592004	13796	
17354	2569465	13608	
16903	2706609	15410	
20422	2775428	15787	
17300	2680642	14525	
18579	2624148	15229	
17658	2658118	13854	
18769	2791415	15681	
18927	2743179	15351	
17793	3033292	14190	
19641	2858871	14772	
18431	2618889	13727	
17688	2731976	14247	
16935	2406679	14231	
18398	2886577	18944	
19106	2710370	20371	
18035	2965313	16360	
20158	2792799	15297	
18025	2525175	14532	
18893	2874467	14469	
18423	3052096	14393	
18492	2607983	15310	
18033	2598166	15968	
18780	2751937	14596	
18156	2599880	15917	
17850	2784918	16465	
18360	2420794	15673	
18143	2743490	16325	
17945	2623853	17262	
18188	2567535	15569	
18995	2450059	14160	
17167	2533882	13209	
18185	2746224	14877	
17458	2585524	14455	
27051	2606286	14226	
18645	2656298	13010	
17934	3086389	14048	
16322	2713398	14138	
18293	2668662	15791	
17882	2582359	14166	
20235	2903192	15259	
18268	2954574	15196	
17704	2372719	13998	
17145	3023117	14944	
13647	2679921	12306	
11458	2673752	11587	
11091	2806474	12017	
15328	2342194	10212	
11603	2554939	8747	
14443	2544816	11834	
13288	2770002	12377	
11667	2135786	11391	
10523	2597628	13384	
13392	2566815	17757	
13688	2582307	12378	
13626	2571322	10640	
10826	2452796	10636	
12142	5832379	18922	
12905	2855751	9339	
11934	2184682	12280	
10237	2265858	13361	
21163	2741405	13899	
10538	2445791	12981	
10959	2548579	13220	
10634	2543268	12867	
10607	2500573	11870	
13710	2512990	8220	
11516	2454170	12640	
11285	2600190	12353	
11075	2666448	12965	
11211	2503610	14197	
12440	2533442	12751	
10644	2510649	10453	
11506	2533875	12808	
24602	2578032	12343	
10716	2590344	8690	
14168	2543978	14964	
13622	2374748	13547	
15761	2504142	18593	
10441	2275448	21877	
10475	2505631	15589	
15020	2731672	17449	
15841	2433778	14419	
11573	2630612	14123	
10849	2831971	14478	
10725	2226433	9214	
11609	2661165	11868	
11232	2574835	15752	
12003	2647847	14543	
10543	2493187	13920	
11142	2708805	15907	
11838	2609435	13903	
10662	2621714	14857	
15426	2553080	14725	
11039	2734207	16870	
11083	2812861	15588	
12277	2671548	14951	
17960	2572940	8580	
12162	2625156	11950	
14906	2699861	14967	
14042	2497650	13908	
10469	2689832	11969	
10466	2603696	13512	
10941	2624923	13175	
12534	2524605	12846	
10841	2448843	13194	
12575	2878526	12040	
15730	6505377	21568	
11481	2286059	9801	
11856	2956206	14425	
14483	2483748	14631	
11988	3247297	14855	
13477	2482801	14294	
11107	2512891	11945	
11100	2562056	14994	
12660	2565602	14009	
10779	2637898	11300	
10752	2672579	13240	
10786	2122714	14184	
11423	2498840	10028	
11400	2632335	15292	
13359	3071121	12726	
11109	2799800	12497	
11988	2662925	13575	
11680	2502925	14804	
11678	2643124	13377	
10612	2378658	12721	
11208	2421292	11960	
13829	2273324	12529	
12537	2771589	12300	
11235	2312059	8226	
11079	2622208	12968	
12745	2630711	12962	
13002	2700144	10185	
10701	2677521	12619	
10782	2668202	13089	
13986	2532907	13252	
12302	2497372	12153	
10549	2476323	12149	
10577	2609357	12553	
12656	2507507	10685	
12275	2585195	8339	
11558	2307008	12740	
19533	2708205	13348	
10009	2819896	16854	
10515	2561495	15063	
15855	2606183	15953	
15294	2572457	15305	
15354	2662798	14577	
15414	2488868	15262	
15788	2573883	14862	
15938	2512954	11416	
16474	2434606	15068	
17432	2698728	15318	
18006	2469610	15164	
15863	2378835	13500	
15828	2533010	15517	
15288	2442724	13534	
15257	2647199	16126	
23845	2559047	15966	
15465	2460499	14902	
14704	2528195	11098	
20464	2472237	15809	
20457	2578426	14975	
14992	2670747	17506	
26009	2911876	18768	
27565	2744498	19334	
20834	2600218	17370	
16218	2956200	16383	
16141	2995250	15578	
16613	2742791	13881	
15599	3008639	14263	
14809	2648779	14715	
21895	2861263	15686	
14392	2623155	15291	
15463	2811858	16082	
15779	2588108	16145	
15739	2448731	15092	
16026	2666235	16224	
16607	2715254	15376	
15729	2645275	14285	
17208	2932618	16057	
24090	2469592	16084	
15639	2843911	16420	
15619	2617934	39072	
16074	2509138	15216	
16355	2493925	15180	
14904	3014973	15941	
15894	2506916	14584	
14893	2647087	14913	
15307	2748078	16761	
22246	2596111	16968	
21396	2648340	18191	
17148	2612646	19500	
20582	2911476	15810	
15659	2520193	17133	
15603	2278242	18783	
15572	2511104	16155	
16071	2454855	9987	
16702	2605715	15483	
16051	2710301	15339	
14716	2432453	15327	
14674	2574936	15132	
15840	2639445	15615	
15691	2471607	15039	
15580	2404817	15414	
15651	2581146	14132	
21090	2433789	17576	
18338	2618597	12121	
18732	2553940	17685	
17215	2612879	15482	
17585	2581184	16444	
15485	2333933	15572	
15833	2894259	14457	
15417	2664418	15646	
15182	2447021	16120	
15392	2636755	16228	
14900	2620832	15706	
15090	2488989	15126	
15801	2652126	11506	
14940	2833985	14389	
19331	2565192	15348	
16281	2521279	18291	
18645	2648928	15543	
15988	2741154	17200	
18983	2632992	16916	
16260	2785251	15970	
15305	2299538	16604	
16291	2606893	20631	
22607	2307607	19663	
16881	2802557	21245	
18334	2866099	17351	
17157	2707525	18720	
17076	2316111	16067	
17403	2671309	17091	
17614	2673678	15497	
17449	2620404	21410	
20880	2795580	17801	
18589	4001835	19071	
11491	2670802	14508	
11714	2417479	14147	
10406	2588033	15304	
12513	2680822	12662	
10719	2553015	15120	
17871	2915371	14968	
20659	2447348	13965	
12010	2602495	16064	
48073	2541396	15807	
13969	2409556	13829	
10353	2449827	11346	
19232	2648561	12300	
10756	2588605	12683	
10605	2642037	14533	
13531	2618579	13137	
11202	2724831	12917	
11179	6355124	17950	
11742	3337657	12760	
10825	3038814	14095	
13065	2848356	14308	
18329	2964627	12097	
13032	2511910	13474	
12884	2613172	7420	
11934	2395856	12068	
12429	2733573	13806	
11282	2659627	11826	
10252	2746404	12933	
11392	2540988	12853	
11291	2683074	11884	
11352	2619327	12200	
10937	2795374	13054	
12002	2607495	10534	
10521	2554720	12988	
11939	2645939	13392	
11307	2683663	9569	
11501	2448161	12375	
11461	2689518	20598	
12481	2671453	12417	
12064	2128394	15725	
14992	3026293	20151	
10914	2875916	14451	
10805	2733041	12469	
12641	2515240	13024	
12178	2953710	15041	
11240	2828348	12135	
12992	3368783	11736	
11306	2724116	14691	
11073	2921140	12921	
10962	2601779	10979	
11135	2929962	12503	
11160	2738718	14175	
11784	2326443	10972	
11460	2514716	9271	
11616	2823400	15555	
15658	2744985	17187	
12528	2592498	15422	
11694	2719506	14766	
14338	2551370	13843	
11233	2725012	16154	
11160	2255562	12655	
10638	2393746	13357	
11332	2608944	15004	
11124	2557671	17200	
11016	2690469	13720	
11623	2957222	12160	
11149	4005447	17549	
11811	2664717	12126	
12129	2609381	14254	
12223	2335021	9621	
20254	2472509	14820	
11560	2769210	15438	
19404	2629551	18211	
13511	2359208	14567	
14161	2740922	15000	
13985	2699284	13219	
10999	2880270	14047	
12375	2630964	14470	
11605	2433240	12419	
11206	2437801	13026	
11305	2594353	13380	
11386	2692747	13033	
11255	2651721	13506	
11803	2610766	13051	
10920	2705989	8903	
12233	2602947	14480	
14071	2604999	11301	
11528	2764053	13683	
12833	2597492	12106	
12403	2605065	12890	
12641	2453518	13866	
10595	2682644	15165	
10975	2597550	17185	
12722	2581347	12418	
10814	2585969	14747	
17790	2635427	15868	
10819	2441560	13088	
11475	2344214	11118	
10727	2701232	13458	
10608	2829413	11480	
11940	2442383	8886	
12636	2336629	12541	
10885	2598322	12400	
9899	2501404	12557	
10742	2739661	12047	
10719	2670296	13440	
16732	2932988	15074	
14697	2685153	14770	
10614	2687654	16004	
15397	3326099	12513	
10650	2669609	12344	
10731	2570790	12836	
10606	2636064	12605	
14326	2689192	12451	
10952	2565961	13532	
11688	2728355	12185	
10647	2673214	9558	
