Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt/zzzTemp.txt : len : 100000 loops : 1000
WRITE	FSYNC	READ
22450458	906747	1112986	
22645473	853154	23948	
21774211	1029826	25938	
23253409	864071	24616	
21674501	932565	20838	
20971739	930700	22012	
20648048	974727	26245	
21369285	950349	24382	
24526602	990557	22972	
20720489	1050665	27290	
22532748	1039696	30595	
22056401	1066796	24789	
23854723	1015615	26024	
36375844	908207	25869	
22297055	935550	26199	
22690500	921666	21992	
22929725	943220	25335	
21287495	1004046	27597	
21757904	1040851	23844	
27135756	983085	24050	
22132403	864399	24041	
21576468	987400	25199	
21645646	1020631	23311	
19968999	902208	17642	
20598027	1040859	21768	
20978567	908569	24835	
21303174	938052	20885	
21830116	983326	17830	
22124415	834405	47446	
21137093	966838	21387	
21285695	1319198	22090	
21675687	1006294	21565	
21512548	907469	22238	
26828313	1041733	22605	
22491075	882048	23503	
22169452	895450	22867	
23236933	1013227	19828	
21966665	926977	17100	
21191711	912100	24869	
22165753	949564	25692	
21326247	850307	19489	
21565794	979828	22693	
21625575	890997	23988	
22441549	918045	23670	
21423961	834309	21949	
20229909	1013702	24271	
21238344	891551	24247	
20518874	997884	22112	
20663975	867224	22235	
20968061	869147	25760	
21418046	1078165	24110	
23574108	1074000	25364	
20988409	952105	32318	
21107420	892226	22017	
21656198	939546	23018	
21049601	925794	25783	
22260044	1053649	26546	
21005304	905536	25580	
21728935	1080985	22534	
20955555	828337	26951	
20913941	873849	46747	
21313308	1071830	23215	
20237516	925406	21267	
20581525	864325	26098	
21084527	843601	23863	
20152043	934054	21837	
21475555	865748	21696	
20978679	946219	25128	
20920810	897683	24894	
20985436	919017	24318	
20815284	1056546	21002	
22401275	917598	24476	
21268492	950710	25283	
24950445	1079846	26547	
23212717	814644	21637	
20656095	968669	20434	
21559102	945274	20849	
20337387	904928	20085	
21643212	936829	20320	
22128765	888151	20851	
21772469	911693	21226	
20814649	904626	23295	
21877204	1010382	22039	
21034627	973063	18980	
20957822	961563	17823	
22612283	1120826	23823	
21936410	952467	23700	
21586591	970100	26089	
21512006	857640	24382	
22988380	1021730	26874	
30815203	880019	26172	
21951509	985270	27416	
21954141	909797	24207	
20936784	1008314	24111	
21774722	1073906	22555	
25447675	1007632	24609	
23146868	1176055	28691	
22272338	935936	25114	
21642333	949062	26297	
19840888	891689	23150	
20488356	915249	21988	
21087542	818227	22558	
27735084	977610	24765	
20466129	925884	17736	
22132044	1012340	24603	
21964480	896772	21270	
21817629	928399	24303	
22584851	906363	24539	
22348455	1020448	24963	
23565361	978171	25565	
22796368	793598	23460	
23458149	942373	22122	
24966910	869949	22868	
22550146	980903	27649	
21143060	898113	25826	
21322375	1064981	23269	
22233275	985288	23907	
25194092	914209	25463	
22764482	989793	20598	
21778823	1119935	23458	
21644313	1064442	20718	
21840043	919539	22784	
24955745	951148	25980	
21079024	1099306	24392	
21982766	1029927	24354	
21540930	1009114	26518	
22074537	1054957	22877	
26854119	952290	30298	
22307777	958091	27528	
21942521	1005572	27697	
22130827	925272	24124	
21116664	1053033	23507	
22021109	891064	22271	
22502409	954711	24918	
21434653	1012563	24464	
21887175	1124137	26500	
22325261	1164818	25701	
23080858	991618	28253	
30842644	929660	24248	
21539418	845520	25973	
21132207	867259	24883	
21134167	906057	23307	
21535029	987730	22688	
24091777	1025667	26285	
21283748	931461	21793	
21158630	1084165	31340	
23149696	990307	23106	
21580254	1015019	25689	
24830774	940595	38487	
27425771	948115	25728	
24306790	967009	25611	
22950089	953945	23695	
21314011	893707	25002	
21564031	887403	22014	
22170180	864147	28822	
22645897	897644	22997	
21097183	994846	19384	
24556198	1041389	23536	
23362613	873868	24797	
22302205	1138339	21729	
23221121	980411	22704	
23266511	1279400	24414	
22124349	966901	31262	
21541809	1002494	24739	
22395154	1030035	25788	
22017531	922840	26862	
22752288	885863	24999	
21333469	902809	26194	
21582767	907030	24882	
23002302	984986	24373	
24703064	962691	26082	
23457968	1031474	27162	
51166747	1116119	27117	
23059763	890436	26142	
22093129	893825	25740	
21912807	998808	23708	
22412560	1056883	23918	
22780238	919659	24567	
21720848	1125102	20590	
22470578	1050887	27072	
24395419	908783	26377	
22443058	1179953	24520	
22082216	962663	23212	
22385751	910003	21326	
20755958	969952	25034	
20716178	871323	25348	
26527941	886753	45734	
25303100	903611	24911	
22625704	1034234	25716	
23307258	960409	24620	
22311292	1007480	23776	
22897878	947956	22821	
21314607	990248	23268	
22439282	913296	22884	
23388901	1037126	26183	
21939477	1104361	31109	
21840271	945034	25636	
21651533	963840	27192	
21201847	882461	23937	
22250478	877614	25385	
21232732	921191	26037	
22177717	983015	24374	
22235752	961324	24616	
21290531	833318	26556	
21115327	947895	29424	
21849422	1043123	24932	
22571850	1446622	24646	
23512827	1004126	24508	
22997094	1039869	27194	
33574200	921873	25652	
21983846	1101352	26953	
22523865	954181	27041	
22313608	1011429	22871	
22215961	953041	23577	
21442452	2453137	27018	
21174273	1195236	23660	
21755663	929145	22384	
21895522	1093501	25691	
24512161	1024530	27273	
22306393	1035157	24032	
22433200	959657	24149	
21183038	1081415	25609	
21494120	931833	24609	
23535952	971032	26124	
23664020	1036856	26786	
23758553	984355	24307	
23199153	940589	24440	
22172685	1098666	23640	
22402596	1079407	26950	
25277067	1209001	26087	
22308615	1042386	25549	
22767218	962361	25476	
23383312	1025306	24140	
22453152	1147581	24889	
23027167	947600	27498	
23930157	947255	26344	
22540158	1096386	44338	
22005958	986202	24208	
21506033	967483	23637	
21892101	961331	27081	
22130752	1102647	29089	
21365770	1001388	31041	
22417173	1094798	23756	
22308631	880620	24428	
22491175	1057643	25261	
