Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v3/mtpt/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
3120474	856330	2428386	4222	49659	1963117	
3472864	1012182	2727704	3466	6974	1609550	
6469777	1004841	2684479	3953	6634	1628988	
3188005	1072514	2562890	3973	9666	1709503	
3543118	872114	2778890	4144	12830	1731093	
3451040	903505	2528098	3820	8612	1648663	
3388773	841543	2338975	3912	7640	1713739	
6116578	897648	2761618	3479	8905	1677441	
3412414	883242	2527397	3392	8778	1728761	
3429523	922166	2551017	3598	7211	1861044	
3096521	867596	2432885	3845	8530	1839511	
3536484	1012637	2478933	3768	10004	1905127	
6190444	926278	2485996	4493	9531	2240763	
3625915	994346	2578583	5988	8800	1816350	
3260342	794832	2516002	3358	8794	1520842	
3709579	931545	2698886	3511	8273	1806130	
3249758	881224	2425538	3961	10514	1516571	
5832011	928522	2763909	6952	15734	1982861	
3599243	929832	2626879	6975	13396	1672979	
3473691	934002	2492767	5889	9709	1551130	
3382421	961765	2735229	4331	26304	1818677	
3322041	887413	2603491	6428	9626	1755882	
5893216	844830	2636546	4731	9246	1674805	
3299769	937413	2746148	4744	12040	1593300	
3025590	824726	2323301	4142	13896	1773447	
3520345	968505	2645514	5841	8675	2035033	
6085124	890615	2587844	3566	9769	2091180	
5926907	906085	2544067	4228	8377	1660892	
3604161	1025905	2499425	6386	8064	1557002	
3425665	879970	2598872	4420	8830	1839783	
3536722	873478	2400298	4157	25215	2013090	
3569732	945201	2638745	4180	8386	1554792	
5425256	859848	3072828	3609	8360	1742940	
3168215	921640	2497599	3894	8671	2285761	
3146178	968159	2543150	4069	8916	1694445	
3572156	743835	2479220	3940	7631	1566185	
3188612	885544	2473489	3795	9000	1692459	
5524039	817056	2477531	5034	7988	1726176	
3504322	797620	2528202	4333	25078	1820220	
5651076	842528	2550125	4543	21882	1816265	
3476805	855051	2964445	3740	8958	1904533	
3345196	864441	2716526	3582	9051	1759571	
5784660	1052280	2931755	3462	9289	1574667	
3538588	1045562	2593212	4590	8791	1695008	
3481870	915061	2299077	3849	8445	1582526	
3527838	864811	4363488	5266	9280	1512382	
3570756	818051	2502454	6569	8693	1690259	
5183400	867499	2480018	4173	8371	1585515	
3532456	940685	2351431	3173	9710	1549183	
3581438	891775	2550014	3622	9161	1631931	
3405888	940335	2554945	4949	8303	1594581	
3504563	820410	2443216	3484	9487	1500003	
5733447	892010	4771435	9482	9409	1811435	
3588990	848891	2366252	3343	16773	1510324	
3403748	913074	2606782	6638	13189	1667264	
3382701	867516	2312505	4252	8652	1692297	
6743886	901933	2459384	3483	7310	1573785	
5726620	833913	2525764	6703	8804	1574712	
3637139	1000115	2913354	5943	9646	1808330	
5108036	993126	2598411	3751	8145	1703109	
3398178	881033	2461465	3381	7464	1620692	
3278170	988490	2533641	4613	8791	1876080	
5958392	814692	2528920	4822	8538	1547126	
3571655	834257	2613093	4224	25393	1781360	
3422568	911732	2703468	5555	7940	1650939	
3352246	983802	2845938	3461	7478	1753371	
3464570	916172	2901046	6477	9094	1762268	
6252268	905721	2432224	3947	8607	1586400	
3374048	989928	2389578	3545	8974	1591518	
3503723	907990	2479103	3641	16869	1691173	
3326317	871571	2384929	4194	8946	1694074	
3253376	939665	2685947	3240	7913	1675183	
5642801	846833	2509265	4170	9226	1577854	
3473126	879516	2597148	4460	7636	1586578	
3124746	893144	2775731	9888	8759	1760923	
3242747	907597	2643130	4015	7825	1625549	
3161813	929590	2648155	6302	11958	1639088	
6019743	950649	2118404	4751	8674	1619261	
3277101	911473	2298027	3957	9491	1630591	
3185686	1007296	2711791	3631	7311	1733123	
3138033	871354	2693485	4205	41708	1660979	
3681385	966594	2853623	4082	9949	1695754	
5859444	1022699	2502503	3768	7862	1766506	
3571510	887131	2564696	3591	7697	1713032	
3704175	839834	2650393	4148	9753	1794472	
3438568	964158	2544121	4056	9141	1954697	
5824776	807166	2653231	4502	8009	1875076	
10405675	854349	2946396	6795	11321	1936950	
3982273	975089	2742248	3624	8104	1718922	
3639858	898368	2522127	6026	7900	1875778	
3889795	1064859	2645972	4516	41961	1623189	
3351488	804201	2579124	3287	8309	1715465	
5706236	860661	2531670	5643	12186	1717802	
3614397	897147	2313165	3445	6867	1740437	
3430960	911846	2534900	6023	8574	1667746	
3488475	850471	2609227	4332	17409	1747502	
3507375	785794	2484049	3872	11493	1522448	
5826962	1063571	2411784	3844	9322	1552566	
3236913	870469	2585680	4283	10778	1875341	
3683036	972268	5188018	3592	12584	1713937	
3267689	1005839	2784250	4556	7490	1790816	
3500369	1046610	2670959	4055	8900	1830482	
6188309	912289	2661782	3118	8172	1557905	
3840042	902856	2499685	4180	9790	1721248	
3556174	911134	2624585	9441	8118	1556380	
3703058	976356	2657280	4233	7973	1485401	
3527363	1105008	2697852	4299	9844	1695660	
6004003	785752	2736575	6317	9326	1580802	
3508751	1047933	2353512	4023	8323	1641633	
3764827	914409	2685463	5655	29052	1807059	
3656889	903723	2700423	3015	9834	1670549	
3264250	888556	2696986	4409	26506	1659198	
6375811	4462701	2909270	3969	10567	1735925	
3387168	930494	2718952	5031	8716	1603912	
3855113	942725	2616782	3672	7694	1885227	
3585861	873342	2383365	3911	17312	1747792	
6901587	1230644	2612428	3744	24950	1505330	
6471922	832676	2670254	5850	9492	1649477	
3531333	987155	2759983	5889	8791	1717725	
3349751	871688	2505760	6518	7059	1679804	
3510322	870040	2791312	4076	9108	1541759	
3478890	878661	2642035	4092	8748	1778953	
5871135	1074865	2636042	3852	11051	1583362	
3706066	873178	2503947	3667	9294	1737023	
3668675	889640	2767626	6177	8651	1952995	
3344134	878288	2784490	4640	7759	1723428	
3583951	902753	2640896	3763	11911	2050686	
6906221	876497	2561076	5746	8563	1697599	
3535675	909108	2353075	4020	8075	1626002	
3393260	1031258	3021761	4191	9025	1746127	
3613055	1140306	2767856	4726	8923	1948404	
3305210	1133069	2758585	4427	7240	1591416	
6411523	2827253	2600433	7354	10513	1596438	
3562693	840572	2377769	3853	20270	1644493	
4886904	1023156	2762719	3777	17283	1737904	
3453004	1016192	2719639	3816	7830	1634833	
3746179	868941	2619971	6124	10708	1740250	
6010237	925033	2737584	3428	7885	1822150	
3551768	899822	2628384	4022	7722	1697824	
3647176	863460	2642733	4131	7861	1861826	
3580087	881137	2364700	3404	8581	1566209	
3476286	924792	2408715	3635	9377	1571853	
6597083	829529	2572015	7917	9217	1681538	
3557720	1007980	2440872	4400	9925	1785422	
4041909	1025711	4989974	3953	10131	1702263	
3607255	847150	2557900	3885	9277	1731787	
7726138	920569	2692720	4051	8647	1882490	
6822740	954764	2492885	5126	9457	1800550	
3790164	941471	2720753	3565	21690	1694481	
3508222	2277376	2861727	3535	9991	1790497	
3590404	943507	2643711	3797	9820	1749689	
3470234	1388022	2690308	3930	12113	1805465	
5867938	920109	2680991	3493	9525	1608349	
3966017	878889	2656738	3916	8632	1672243	
3652947	839050	2561496	6400	9303	1675959	
3444135	1014439	2495459	3611	8666	1836497	
3445440	884531	2481059	3702	8040	1950275	
6134637	946350	2341451	3795	8157	1802210	
3643648	920822	2557962	6671	11306	1772051	
3655726	972701	2861443	3496	8768	1719228	
3783789	918137	2639193	7296	8546	1634491	
3450284	972963	2792322	4107	8181	1769407	
6347194	943413	3273243	5395	10772	1715260	
3963970	1059991	2589166	5584	8564	1695090	
3520568	850355	2571377	7171	8546	1780485	
3356153	862252	3149713	5031	8327	1678462	
3386156	944422	2540117	4738	13429	1784128	
6481545	939042	2428598	3731	6750	1672494	
3577920	847853	2651613	3442	12905	1929760	
3243966	1003499	2669064	3994	7671	1902912	
3382928	886158	2679464	6206	10625	1681982	
3797789	1050351	2591020	3215	25672	1894671	
6253734	970065	2508197	6605	7552	1689874	
3566433	915615	2374757	6137	9081	1641203	
3692990	963043	2770502	7727	10644	1801462	
3386315	979067	2639591	4380	9006	1882743	
15148932	903863	2638109	6339	9217	2053114	
6407951	1052138	2741520	3451	8763	1864493	
3435528	1000458	2677896	3584	30100	1957944	
3328510	917816	2442908	4163	8820	1624852	
3796541	934125	2559364	4308	25215	1735155	
3971068	999292	2739778	4985	7920	1783897	
6031803	998097	2606238	6013	7889	1637732	
3481170	933125	2940180	3478	7403	1572825	
4636628	907171	2665448	6359	9025	1623154	
3569500	938841	3237507	4378	18999	1662774	
3551078	1034780	2677354	4126	22080	325190272	
6238013	900115	2527493	3660	9924	1715414	
3370971	921110	2366911	3849	8446	1624665	
3878508	1070604	5252899	4679	9318	1865619	
3208504	1035856	2706390	4410	8430	1927641	
3611786	978221	2592427	4141	8263	1677008	
5665620	910988	2502489	3229	7852	1539597	
3433534	872199	2447133	5840	7116	1727431	
3689789	977611	2714080	3259	8349	1636386	
3665889	928493	2423549	4507	8983	1546653	
3345409	983763	2408559	4029	8680	1578750	
6212100	1023800	2260211	3646	8180	1610190	
3277778	885840	2647724	3795	8305	3064037	
3755508	987970	2741103	3609	10326	1867625	
3511386	1069586	2736728	3765	8929	1887730	
3623634	921634	2513179	3795	9856	4829507	
6693877	1108600	2744430	3957	27119	2555277	
3786245	1117575	2504133	3692	12657	1838341	
3978599	1008869	2665491	4041	9416	1720457	
3514281	933503	2896036	4351	9737	1814405	
5963242	896168	2721999	7551	9222	1661497	
6542922	951563	2565593	3551	9060	1589592	
3468740	879878	2767981	3423	8809	1871673	
3475829	1034237	2330229	3545	8342	1685796	
3776085	1577675	2540624	3945	9033	1861550	
3463324	808191	2263502	3938	8938	1647568	
6553646	984080	2592739	4213	9256	1689420	
3495371	885267	2949638	6071	11863	1808951	
3373394	848893	2502519	3562	13574	1582695	
3379769	752980	2428935	3941	6235	1824405	
3142161	818153	2422899	4192	6157	1647394	
5995177	895988	2559871	3474	13124	1713868	
3107837	857563	2576481	3405	7200	1664189	
3346298	1024689	2527514	3270	6102	1561009	
3067903	856203	2471701	3423	7849	1683650	
3470345	844359	2524459	4815	8031	1798247	
5921653	829303	2313350	4572	9706	1601711	
3077421	830667	2425245	3268	8518	1671954	
3231331	1101605	2786617	3779	5774	1525546	
3038551	939263	2297708	3599	13134	1623939	
3408334	1054371	2649622	4192	7817	1705703	
6226163	815097	2497681	4039	7022	1478782	
3171150	751540	2341141	3500	11748	1903333	
3193432	827964	2288270	3750	7842	1565702	
3303464	928745	2837004	4029	7915	1564329	
3292725	844121	2631542	3743	6289	1714669	
6014375	886994	2368459	4581	6594	1385369	
3096930	893413	2576884	3394	6870	1628841	
3270078	927311	2272481	4087	6071	1433628	
3425125	941490	2375338	3651	9237	1701745	
5821892	832400	2342505	3553	6726	1510209	
5811290	885826	2422410	3985	7967	1662519	
3438815	731764	2394079	3196	7467	1545476	
3511318	821525	2544532	4027	12780	1723279	
3168465	798800	2292259	4576	9005	1596034	
3338424	758482	2185962	3811	7865	1643633	
6300212	1150294	2329832	3477	10098	1630300	
5387689	804477	2383401	3431	8531	1713477	
3592492	861453	2458467	4169	7393	1780746	
3452994	949687	2659959	3715	9069	1705269	
3528431	847785	2845759	3434	8468	1483408	
6573453	902670	2506996	3509	9654	1720080	
3537480	1006811	2566845	4560	8785	1715181	
3754339	990059	2666694	3515	9836	1672762	
