Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v2/mtpt/zzzTemp.txt : len : 10 loops : 1000
WRITE	FSYNC	READ
922597	902943		
752365	809739		
795411	789630		
818570	811593		
839295	792136		
2035079	924817		
970767	785383		
1081909	1012162		
1034223	1006429		
853594	840212		
838991	886745		
960189	928847		
984596	999091		
972517	1380966		
2114364	909747		
887174	872244		
933285	842015		
1353957	823467		
921245	876230		
774652	958925		
1073449	820540		
936982	867343		
858977	910843		
1164633	943004		
753021	881107		
841021	833923		
1232609	836530		
919266	871024		
902192	838789		
889718	778740		
944233	825601		
881643	845777		
856553	944791		
841902	786819		
850405	931596		
850543	806973		
787283	839812		
905572	726425		
852322	913407		
892633	895269		
945147	1005208		
853486	911738		
822452	882593		
926087	850173		
903855	764517		
758405	1002444		
947853	846098		
813760	830331		
756080	787291		
883887	753840		
841038	1013510		
848719	823948		
989763	1117493		
1027222	874955		
810302	688526		
810393	861493		
905223	714539		
912679	935079		
961636	895785		
747066	997685		
889388	847376		
750120	745328		
1024788	2177622		
1100894	790963		
880967	868522		
829281	762536		
986304	833376		
1073687	941297		
917594	837889		
888208	820867		
841862	1127176		
897747	939350		
2559192	922744		
999259	923691		
968978	818417		
781947	850567		
870083	936598		
835350	838207		
825290	907941		
929494	837770		
973213	923691		
758658	1727672		
900634	970919		
1101559	817130		
825742	911792		
802049	771970		
794124	944746		
876114	875505		
801243	928120		
866253	1004750		
917005	794115		
908240	863029		
822038	969192		
857853	948123		
823717	802745		
964086	1018569		
1003026	872652		
753941	966231		
838874	764541		
737012	2556491		
955292	806354		
664544	658493		
857986	880626		
909703	878343		
981703	821417		
903135	955353		
914019	869864		
885284	967552		
955208	768732		
933929	841807		
889960	723069		
839842	915030		
826941	785738		
858611	801918		
756663	766772		
863341	861939		
788240	910470		
899076	863980		
836130	759908		
721934	687314		
898974	836206		
837266	861032		
900066	859290		
1016100	853999		
831237	831213		
767973	772707		
776266	832249		
830781	942016		
850665	837299		
943155	803884		
897768	812632		
832943	687453		
960215	824302		
987060	878308		
882909	1223419		
867827	877606		
856730	855401		
759523	937944		
811620	965321		
780530	787575		
787712	798705		
768683	921004		
814996	850261		
971347	879457		
875223	1131580		
1066217	990539		
1056718	961839		
860051	834369		
991226	769021		
756830	897309		
784121	780589		
800882	972535		
848902	847326		
786506	865323		
895405	808573		
917699	884504		
902698	904907		
832854	889328		
1007168	753265		
987378	833552		
682908	881128		
792745	943978		
1079870	744671		
985683	841033		
723936	733323		
779250	778638		
868512	783043		
752652	770786		
848272	772223		
906461	921325		
815142	766673		
825512	686094		
828700	806915		
745241	842020		
868094	916954		
896214	760648		
796610	871588		
857238	872813		
885335	888003		
798355	851953		
899240	679859		
777819	918497		
1010716	860337		
808746	981214		
897787	824735		
885257	884291		
876280	939220		
769435	835993		
977413	913631		
973543	818196		
921793	1094163		
937589	763312		
930887	821116		
854677	813447		
775768	825213		
928585	834145		
764696	872399		
911097	985985		
813952	755849		
971451	817504		
991012	945502		
886781	741838		
820149	821875		
844476	935776		
924740	855960		
931776	777070		
840541	910591		
1069506	1730537		
921506	822650		
865123	748219		
801303	846843		
831549	852264		
871505	894374		
848367	828005		
899358	737520		
938984	813091		
881138	739166		
838095	821316		
823302	1003091		
973055	973671		
946415	955166		
891281	923815		
971906	882145		
800313	840169		
1043786	937178		
949927	816271		
795438	904141		
794765	885992		
843524	1006331		
997233	1014962		
967940	861112		
908938	1194264		
961608	1063442		
819512	818876		
708868	789462		
778500	972451		
775767	825634		
862328	1023075		
891572	811970		
998241	941438		
955304	844085		
813558	824011		
764265	715877		
898416	814634		
972466	821485		
837417	823710		
863281	754188		
916259	840794		
842225	783004		
965436	809583		
821250	782051		
807217	814194		
857477	782556		
801485	796930		
1000827	713384		
807427	841952		
750026	886868		
889993	906631		
792401	895740		
845882	922438		
895522	833659		
887761	944335		
843389	841517		
804802	808576		
833586	761343		
843241	822219		
1004451	922065		
842056	876616		
853297	818838		
929237	759072		
925477	861908		
809668	822118		
959472	728950		
948329	800080		
817716	705110		
742026	771041		
819392	827695		
913131	1118174		
849959	838547		
887249	766745		
944287	812756		
806387	823754		
815672	782803		
831360	1474814		
878846	879277		
849497	998648		
941290	1018072		
877315	1035564		
867703	820453		
1003663	1004553		
925440	854427		
908973	829069		
999510	827078		
772587	819482		
797148	926550		
848566	984152		
777281	802432		
804841	906688		
815828	752903		
682147	824702		
926473	858836		
873727	3053458		
865150	861181		
1112708	865505		
1084431	1021417		
989451	980487		
877326	971008		
816832	848375		
1043816	1132976		
903962	882033		
939644	755371		
850979	924528		
1054619	886680		
903554	812033		
791980	896859		
809669	850536		
902878	820118		
765087	826389		
906609	985010		
1075972	923656		
980875	902746		
752304	927225		
798939	775286		
999091	1151444		
922740	859047		
900704	861279		
872828	1095589		
1090929	1015357		
888283	894399		
988402	1170814		
985849	888587		
910018	954246		
1354499	1049765		
927401	981354		
969955	902640		
1190512	905802		
921004	1118097		
1050357	980757		
911141	977737		
1019049	1063219		
1066694	797614		
922834	1005525		
1176940	985279		
1012791	857446		
1086477	950486		
899042	759968		
956278	727822		
758033	862812		
766571	967522		
1108979	942886		
872401	1188078		
1725169	872236		
900209	770065		
932123	833085		
895595	879162		
924647	1076164		
980611	880573		
945495	802682		
2174638	930545		
807742	850254		
899745	780626		
875473	754191		
989134	801830		
847014	857893		
1975954	881851		
1020479	882344		
748299	945019		
965084	901342		
880828	862052		
761166	968632		
847102	749344		
879286	811288		
756873	859931		
980624	826803		
852286	849504		
871963	718337		
820542	879154		
816858	889240		
898479	851378		
1090884	888295		
966487	844997		
1160692	897272		
777215	1003943		
841992	861619		
917524	811040		
841753	889013		
960007	971478		
946969	790795		
696558	990558		
855608	813301		
1008012	757640		
956163	930107		
840921	998102		
991993	825318		
782041	847219		
967855	808074		
881613	870694		
847254	1025045		
876894	843776		
844685	833446		
797895	782662		
1005446	912793		
980408	895729		
747162	843423		
792507	851134		
860760	885259		
1048456	1017233		
854967	960702		
875712	908608		
808928	922993		
913207	973750		
821142	778057		
800046	720827		
871110	730140		
1013849	762502		
754715	923095		
768707	946790		
918837	918955		
921172	840482		
875894	914096		
824105	821538		
842622	803538		
816072	1029602		
938271	856574		
983478	985441		
824403	787570		
790372	811433		
750664	802021		
874899	752189		
793159	808705		
960109	911280		
979985	958083		
875129	822642		
797926	868538		
928106	940435		
932608	949822		
941778	1085750		
921973	814378		
843072	816244		
954339	883120		
880282	769077		
916591	2591157		
1134507	877237		
945225	919189		
1001992	1068724		
807276	1085844		
903767	756267		
722368	823447		
889572	833877		
785662	929787		
937319	1105820		
1037250	1112423		
843473	851537		
976699	919542		
815360	899539		
1013649	896466		
896051	827507		
852303	733417		
790204	977231		
952593	806308		
909091	809982		
792999	803522		
819596	844371		
796565	849719		
794070	846044		
797906	823651		
889471	866660		
846796	796544		
963864	837525		
971325	931601		
829968	725056		
848521	3190333		
815980	879132		
939547	935411		
876162	942294		
864823	928054		
954600	816350		
828993	809757		
931362	892609		
739677	719208		
852978	903783		
912031	990246		
869598	818838		
962561	821933		
1003657	1116070		
837476	921367		
803674	887572		
880699	961322		
800227	919270		
958230	895407		
805624	859677		
950632	861814		
789403	930980		
881215	765623		
775818	933213		
1016398	832307		
928046	971140		
1042264	1091611		
881746	882014		
958379	838451		
954199	836690		
845213	706120		
1461299	1136663		
925663	806511		
941087	883049		
747620	960569		
994917	970309		
900615	881498		
851513	857516		
834293	769210		
829480	785791		
903764	938493		
844537	990212		
1030489	983165		
850006	870085		
880584	808350		
799865	917616		
1049562	874131		
877513	1065495		
849527	840233		
859402	867500		
890738	938651		
951949	859566		
906840	771796		
823805	779142		
726808	820119		
817027	841867		
794477	1171234		
992103	829790		
812263	814161		
837604	877253		
880377	753707		
760547	812802		
910039	1050344		
988508	822016		
907177	964545		
875671	1015331		
892375	1002934		
871003	880159		
785558	891320		
936721	797565		
915412	843996		
843225	863990		
925616	958037		
1018012	975760		
906979	869276		
918484	882012		
809567	931269		
816249	895796		
798692	831433		
919604	775293		
835959	893303		
965774	824491		
983920	931028		
895704	817768		
1346802	960074		
819841	809842		
1013331	843600		
988743	825197		
790557	848189		
854374	877868		
806694	847164		
804786	846451		
868788	831289		
857476	887106		
1074254	2612483		
926075	939420		
1010373	846020		
1195626	738549		
896205	898348		
1275196	778470		
876226	822315		
928365	837697		
1062865	833140		
745608	2225499		
885932	915953		
962511	881202		
826446	816069		
1000006	1058398		
740726	973148		
865490	970312		
949805	985240		
